"ANDREWS,THOMAS S",SPECIAL ASST TO THE SPEAKER,2015Q1,"",OFFICE OF THE SPEAKER
"BAILEY,BRADLEY",ASSIST TO SPEAKER FOR POLICY,2015Q1,"",OFFICE OF THE SPEAKER
"BECKER,ALEXANDER M",FLOOR ASSISTANT,2015Q1,"",OFFICE OF THE SPEAKER
"BENJAMIN, WILLIAM C",DIR OF INFORMATION TECHNOLOGY,2015Q1,"",OFFICE OF THE SPEAKER
"BLAKE,KRISTENE",DIRECTOR OF SCHDLNG/EXEC ASST,2015Q1,"",OFFICE OF THE SPEAKER
"BORDEN III, R C",SHARED EMPLOYEE,2015Q1,"",OFFICE OF THE SPEAKER
"BOYD,KATHRYN E",ASST COMMUNICATIONS DIRECTOR,2015Q1,"",OFFICE OF THE SPEAKER
"BROWN,MARYAM S",ASST TO SPEAKER FOR POLICY,2015Q1,"",OFFICE OF THE SPEAKER
"CRAVEN, KELLY F",DIRECTOR OF HOUSE OPERATIONS,2015Q1,"",OFFICE OF THE SPEAKER
"EASBY-SMITH,ANNE S",SPECIAL EVENTS COORDINATOR,2015Q1,"",OFFICE OF THE SPEAKER
"EASBY-SMITH,ANNE S",SPECIAL EVENTS ASSOCIATE,2015Q1,"",OFFICE OF THE SPEAKER
"ECKARD,NASTASHA",ASSIST TO SPEAKER FOR POLICY,2015Q1,"",OFFICE OF THE SPEAKER
"EICHHORN, JARED D",FLOOR ASSISTANT,2015Q1,"",OFFICE OF THE SPEAKER
"FRANKS,JESSICA L",STAFF ASSISTANT,2015Q1,"",OFFICE OF THE SPEAKER
"FRANKS,JESSICA L",STAFF ASSISTANT (OVERTIME),2015Q1,"",OFFICE OF THE SPEAKER
"FRITZ,CORY M",PRESS SECRETARY,2015Q1,"",OFFICE OF THE SPEAKER
"GILLESPIE,MAURA M",PRESS ADVISOR,2015Q1,"",OFFICE OF THE SPEAKER
"GREEN, JO-MARIE S",GEN COUNSEL/CHIEF OF LEG OPS,2015Q1,"",OFFICE OF THE SPEAKER
"GREENE,WILLIAM P",DIRECTOR-OUTREACH,2015Q1,"",OFFICE OF THE SPEAKER
"GRIEVE,ALEXANDER G",STAFF ASSISTANT,2015Q1,"",OFFICE OF THE SPEAKER
"GRIEVE,ALEXANDER G",STAFF ASSISTANT (OVERTIME),2015Q1,"",OFFICE OF THE SPEAKER
"HALEY, KATHERINE C",ASST TO SPEAKER FOR POLICY,2015Q1,"",OFFICE OF THE SPEAKER
"HARROUN, TIMOTHY J",MANAGER REPUBLICAN CLOAKROOM,2015Q1,"",OFFICE OF THE SPEAKER
"HENRIQUEZ,RAUL E",STAFF ASSISTANT,2015Q1,"",OFFICE OF THE SPEAKER
"HENRIQUEZ,RAUL E",STAFF ASSISTANT (OVERTIME),2015Q1,"",OFFICE OF THE SPEAKER
"HERRLE, CYNTHIA A",ASST TO THE SPEAKER FOR POLICY,2015Q1,"",OFFICE OF THE SPEAKER
"HUSTON,JOHNATHON B",SHARED EMPLOYEE,2015Q1,"",OFFICE OF THE SPEAKER
"IVANCIC,CHARLOTTE S",ASSIST TO SPEAKER FOR POLICY,2015Q1,"",OFFICE OF THE SPEAKER
"KITTLE,ALLIE M",SHARED EMPLOYEE,2015Q1,"",OFFICE OF THE SPEAKER
"KOLEGO, TREVOR W",DIR OF MEMBER SERVICES,2015Q1,"",OFFICE OF THE SPEAKER
"LAMPERT,JUSTIN",RESEARCH ASSISTANT,2015Q1,"",OFFICE OF THE SPEAKER
"LEOPOLD,PATRICK R",SHARED EMPLOYEE,2015Q1,"",OFFICE OF THE SPEAKER
"LOHMEYER,SONJA M",DIRECTOR OF PUBLIC LIAISON,2015Q1,"",OFFICE OF THE SPEAKER
"LOZUPONE, AMY S",DIRECTOR OF ADMIN OPERATIONS,2015Q1,"",OFFICE OF THE SPEAKER
"MACDONALD, BRIAN C",SHARED EMPLOYEE,2015Q1,"",OFFICE OF THE SPEAKER
"MARROLETTI,CHRISTOPHER V",STAFF ASSISTANT,2015Q1,"",OFFICE OF THE SPEAKER
"MARROLETTI,CHRISTOPHER V",STAFF ASSISTANT (OVERTIME),2015Q1,"",OFFICE OF THE SPEAKER
"MILAM, LAURA M",DEPUTY SCHEDULER,2015Q1,"",OFFICE OF THE SPEAKER
"MILLER,WILLIAM",SENIOR STAFF ASSISTANT,2015Q1,"",OFFICE OF THE SPEAKER
"MILLER,WILLIAM",SENIOR STAFF ASSISTANT (OVERTIME),2015Q1,"",OFFICE OF THE SPEAKER
"MILLER,WILLIAM",SENIOR STAFF ASSISTANT (OTHER COMPENSATION),2015Q1,"",OFFICE OF THE SPEAKER
"MINGO,ZACHARY F",STAFF ASSISTANT,2015Q1,"",OFFICE OF THE SPEAKER
"MINGO,ZACHARY F",STAFF ASSISTANT (OVERTIME),2015Q1,"",OFFICE OF THE SPEAKER
"MINGO,ZACHARY F",STAFF ASSISTANT (OTHER COMPENSATION),2015Q1,"",OFFICE OF THE SPEAKER
"MINKLER,ANN W",FLOOR ASSISTANT,2015Q1,"",OFFICE OF THE SPEAKER
"MOORE,DYLAN M",STAFF ASSISTANT,2015Q1,"",OFFICE OF THE SPEAKER
"MOORE,DYLAN M",STAFF ASSISTANT (OVERTIME),2015Q1,"",OFFICE OF THE SPEAKER
"PALISI,ANNIE",DEPUTY DIRECTOR OF MEMBER SVCS,2015Q1,"",OFFICE OF THE SPEAKER
"PALMER, ASHLEY M",SHARED EMPLOYEE,2015Q1,"",OFFICE OF THE SPEAKER
"PIETKIEWICZ,ANNE K",STAFF ASSISTANT,2015Q1,"",OFFICE OF THE SPEAKER
"PIETKIEWICZ,ANNE K",STAFF ASSISTANT (OVERTIME),2015Q1,"",OFFICE OF THE SPEAKER
"RATCLIFFE,RAMSEY E",SPECIAL EVENTS COORDINATOR,2015Q1,"",OFFICE OF THE SPEAKER
"RATCLIFFE,RAMSEY E",SPECIAL EVENTS ASSOCIATE,2015Q1,"",OFFICE OF THE SPEAKER
"REED, HEATHER E",DEPUTY PRESS SECRETARY,2015Q1,"",OFFICE OF THE SPEAKER
"RENZ, BRANDON",SHARED EMPLOYEE,2015Q1,"",OFFICE OF THE SPEAKER
"RICCI,MICHAEL",DEPUTY COMMUNICATIONS DIRECTOR,2015Q1,"",OFFICE OF THE SPEAKER
"ROBINSON,GREGORY J",ASSOCIATE COUNSEL,2015Q1,"",OFFICE OF THE SPEAKER
"SAGER,MICHAEL J",SYSTEMS ADMINISTRATOR,2015Q1,"",OFFICE OF THE SPEAKER
"SCHNITTGER, DAVID M",DEPUTY CHIEF OF STAFF,2015Q1,"",OFFICE OF THE SPEAKER
"SCHNITTGER, DAVID M",DEPUTY CHIEF OF STAFF (OTHER COMPENSATION),2015Q1,"",OFFICE OF THE SPEAKER
"SMITH, CALEB J",DIGITAL COMMUNICATIONS DIRECTO,2015Q1,"",OFFICE OF THE SPEAKER
"SMITH, KEVIN",DIRECTOR OF COMMUNICATIONS,2015Q1,"",OFFICE OF THE SPEAKER
"SOMMERS, MICHAEL J",CHIEF OF STAFF,2015Q1,"",OFFICE OF THE SPEAKER
"STEEL, MICHAEL",PRESS SECRETARY,2015Q1,"",OFFICE OF THE SPEAKER
"STEWART, DAVID B",POLICY DIRECTOR (STAT),2015Q1,"",OFFICE OF THE SPEAKER
"STEWART, JENNIFER M",ASST TO SPEAKER FOR POLICY,2015Q1,"",OFFICE OF THE SPEAKER
"STRUNK, LYDIA",DEPUTY FLOOR DIRECTOR,2015Q1,"",OFFICE OF THE SPEAKER
"SWINEHART,SARAH V",DIRECTOR OF MEDIA AFFAIRS,2015Q1,"",OFFICE OF THE SPEAKER
"TALLENT,REBECCA A",ASST TO SPEAKER FOR POLICY,2015Q1,"",OFFICE OF THE SPEAKER
"THORSEN, ANNE B",FLOOR DIRECTOR,2015Q1,"",OFFICE OF THE SPEAKER
"WHITE, JERRY L",SHARED EMPLOYEE,2015Q1,"",OFFICE OF THE SPEAKER
"WOLKING,MATTHEW D",COMMUNICATIONS ADVISOR,2015Q1,"",OFFICE OF THE SPEAKER
"ZULKOSKY,ERIC T",SHARED EMPLOYEE,2015Q1,"",OFFICE OF THE SPEAKER
"ALTMAN,MICHELLE E",SHARED EMPLOYEE,2015Q1,"",OFFICE OF THE SPEAKER
"ANDREWS,THOMAS S",SPECIAL ASST TO THE SPEAKER,2015Q1,"",OFFICE OF THE SPEAKER
"BAILEY,BRADLEY",ASSIST TO SPEAKER FOR POLICY,2015Q1,"",OFFICE OF THE SPEAKER
"BECKER,ALEXANDER M",FLOOR ASSISTANT,2015Q1,"",OFFICE OF THE SPEAKER
"BENJAMIN, WILLIAM C",DIR OF INFORMATION TECHNOLOGY,2015Q1,"",OFFICE OF THE SPEAKER
"BLAKE,KRISTENE",DIRECTOR OF SCHDLNG/EXEC ASST,2015Q1,"",OFFICE OF THE SPEAKER
"BORDEN III, R C",SHARED EMPLOYEE,2015Q1,"",OFFICE OF THE SPEAKER
"BOYD,KATHRYN E",ASST COMMUNICATIONS DIRECTOR,2015Q1,"",OFFICE OF THE SPEAKER
"BROWN,MARYAM S",ASST TO SPEAKER FOR POLICY,2015Q1,"",OFFICE OF THE SPEAKER
"CRAVEN, KELLY F",DIRECTOR OF HOUSE OPERATIONS,2015Q1,"",OFFICE OF THE SPEAKER
"EASBY-SMITH,ANNE S",SPECIAL EVENTS COORDINATOR,2015Q1,"",OFFICE OF THE SPEAKER
"ECKARD,NASTASHA",ASSIST TO SPEAKER FOR POLICY,2015Q1,"",OFFICE OF THE SPEAKER
"EICHHORN, JARED D",FLOOR ASSISTANT,2015Q1,"",OFFICE OF THE SPEAKER
"FRANKS,JESSICA L",STAFF ASSISTANT,2015Q1,"",OFFICE OF THE SPEAKER
"FRANKS,JESSICA L",STAFF ASSISTANT (OVERTIME),2015Q1,"",OFFICE OF THE SPEAKER
"FRITZ,CORY M",PRESS SECRETARY,2015Q1,"",OFFICE OF THE SPEAKER
"GILLESPIE,MAURA M",PRESS ADVISOR,2015Q1,"",OFFICE OF THE SPEAKER
"GREEN, JO-MARIE S",GEN COUNSEL/CHIEF OF LEG OPS,2015Q1,"",OFFICE OF THE SPEAKER
"GREENE,WILLIAM P",DIRECTOR-OUTREACH,2015Q1,"",OFFICE OF THE SPEAKER
"GRIEVE,ALEXANDER G",STAFF ASSISTANT,2015Q1,"",OFFICE OF THE SPEAKER
"GRIEVE,ALEXANDER G",STAFF ASSISTANT (OVERTIME),2015Q1,"",OFFICE OF THE SPEAKER
"HALEY, KATHERINE C",ASST TO SPEAKER FOR POLICY,2015Q1,"",OFFICE OF THE SPEAKER
"HARROUN, TIMOTHY J",MANAGER REPUBLICAN CLOAKROOM,2015Q1,"",OFFICE OF THE SPEAKER
